,id,timestamp,program,question_1,question_2,question_3,question_4,question_5,is_relevant,is_relevant_proc,is_positive,is_positive_proc,object,object_proc,metodist_positive_ind_1_present,metodist_positive_ind_2_knowledgepractice,metodist_positive_ind_3_knowledge,professor_positive__ind_1_speach,professor_positive__ind_2_material,professor_positive__ind_3_communication,metodist_negative_ind_1_badexamples,metodist_negative_ind_2_badmaterial,metodist_negative_ind_3_badknowledge,professor_negative__ind_1_badspeach,professor_negative__ind_2_badmaterial,professor_negative__ind_3_badcommunication,professorname,metodistname,is_critical
0,49,2024-04-06 14:09:57,Управление персоналом,1,Все понравилось,"Календарь составили так, что совместилось два обучения в одно и тоже время, что не совсем удобно",Все хорошо,Создания чата со студентами,1,0.9784258008003235,0,0.7516704797744751,2,0.5316610336303711,0,0,0,0,0,0,0,0,0,0,0,0,Попов,Егоров,0
1,50,2024-04-06 14:10:07,ChatGPT для обучения,1,Gpt чат,Информация предоставлена в доступном виде,Все хорошо,Другие виды ИИ,1,0.9783095121383667,1,0.9096056818962097,2,0.4229837656021118,0,0,0,0,0,0,0,0,0,0,0,0,Васильев,Козлов,0
2,51,2024-04-06 14:10:24,ChatGPT для обучения,1,"Промт-Инжиниринг, это уже даёт какое-то понимание правильной формулировки вопросов для ИИ.",Нет,"Не увидел минусов в вебинаре, очень понравился.",Промт-Инжиниринг,1,0.985932469367981,1,0.9699299335479736,0,0.6612409949302673,0,0,0,0,0,0,0,0,0,0,0,0,Соколов,Козлов,0
3,52,2024-04-06 14:13:26,ChatGPT для обучения,1,"новая информация, полезно",нет не было таких моментов,мне все понравилось,пока затрудняюсь ответить,1,0.9470146298408508,0,0.850318431854248,2,0.4214700758457184,0,0,0,0,0,0,0,0,0,0,0,0,Соколов,Козлов,1
4,53,2024-04-06 14:15:20,ChatGPT для обучения,1,Светлые и темные стороны ChatGPT,Не знание определений,Все идеально,темы по дизайну интерьера,1,0.980943500995636,1,0.9170545339584351,2,0.4107815623283386,0,0,0,0,0,0,0,0,0,0,1,0,Соколов,Козлов,0
5,54,2024-04-06 18:00:00,Новейшие тенденции в IT,1,"Обсуждение было настолько скучным, что я научился жонглировать во время вебинара.","Да, пытался понять жонглирование тремя шарами.","Возможно, включить более динамичную музыку во время обсуждений.",Жонглирование для начинающих.,0,0.5354830026626587,0,0.897905170917511,0,0.39713147282600403,0,0,0,0,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
6,55,2024-04-07 11:00:00,Продвинутые техники программирования,1,Глубокий анализ шаблонов проектирования на конкретных примерах.,Сложно было понять шаблон Singleton.,Подробнее разбирать каждый шаблон на примерах.,Тестирование ПО и фреймворки для автоматизации.,1,0.9922398328781128,1,0.9755487442016602,1,0.43497171998023987,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
7,56,2024-04-07 16:00:00,Основы программирования,1,Объяснение циклов и массивов в JavaScript было очень доступным и понятным.,Нет.,Добавить видео с разбором сложных примеров кода после вебинара.,Подробнее о Node.js и серверном JavaScript.,1,0.9917667508125305,1,0.977754533290863,0,0.675446093082428,0,0,0,1,0,0,0,0,0,0,0,0,Иванов,Лебедев,1
8,27,2024-04-01 08:30:00,Основы программирования,1,Интерактивный подход к изучению основ C# был очень увлекательным.,Нет.,Увеличить количество практических заданий для лучшего закрепления материала.,Введение в разработку на .NET Framework.,1,0.9921855330467224,1,0.9746651649475098,0,0.7011390328407288,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,0
9,28,2024-04-01 10:00:00,Основы программирования,1,Подробное объяснение логических операторов в JavaScript помогло мне лучше понять условные конструкции.,Нет.,Предоставить ещё больше практических задач после теории.,Детальное изучение асинхронного программирования в JavaScript.,1,0.9919609427452087,1,0.9765839576721191,0,0.7155283093452454,0,0,0,1,0,1,0,0,0,0,0,0,Петров,Лебедев,1
10,29,2024-04-01 15:00:00,Основы программирования,1,"Введение в программирование на Python было простым и интуитивно понятным, особенно для начинающих.",Нет.,"Улучшить качество видеоматериалов, иногда было трудно разглядеть код.",Библиотеки Python для анализа данных и машинного обучения.,1,0.9914246797561646,1,0.9741864800453186,0,0.6499956846237183,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,0
11,30,2024-04-01 17:00:00,Основы программирования,1,"Понятное изложение основных понятий, хорошая структура материала.","Да, циклы for и while были объяснены слишком быстро.",Добавить видеоматериалы для самостоятельного изучения.,Функциональное программирование.,1,0.991952121257782,1,0.9709163904190063,0,0.7054026126861572,0,0,0,1,0,0,0,0,0,0,0,0,Иванов,Лебедев,0
12,31,2024-04-02 09:00:00,Основы программирования,1,"Кларность и структура материала по основам JavaScript, особенно затронутые темы циклов и функций.",Нет.,Ввести больше примеров на работу с массивами и объектами.,Работа с асинхронным кодом в JavaScript.,1,0.9921504259109497,1,0.9787499904632568,0,0.7228670120239258,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,0
13,32,2024-04-02 10:00:00,Основы программирования,1,"Простота объяснений основ Python, особенно циклов и условий, сделала занятие очень доступным.",Нет.,Предложить больше дополнительных материалов для самостоятельного изучения после вебинара.,Подробнее о работе с API в Python.,1,0.9920107126235962,1,0.9785037636756897,0,0.7334108948707581,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,1
14,33,2024-04-02 11:00:00,Основы программирования,1,"Лектор имел забавную прическу, что отвлекало, но было весело.","Да, особенно когда кот лектора прыгнул на стол.","Может, начать с курса стрижки для лекторов? И убрать котов из кадра.","Как сделать так, чтобы коты не мешали учёбе.",0,0.5175715088844299,0,0.907088577747345,2,0.6316209435462952,0,0,0,1,0,0,0,0,0,0,0,0,Иванов,Лебедев,0
15,34,2024-04-02 18:45:00,Продвинутые техники программирования,1,Детальный разбор объектно-ориентированного программирования.,Нет.,Ввести дополнительные Q&A сессии после вебинара.,Принципы SOLID в программировании.,1,0.9912649989128113,1,0.977192223072052,1,0.4770745635032654,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,1
16,35,2024-04-03 12:00:00,Продвинутые техники программирования,1,Разбор использования шаблонов проектирования в Java был очень подробным и полезным.,"Да, тема абстрактных фабрик была сложной для понимания.",Организовать вебинары с более подробными примерами реализации каждого шаблона.,Применение шаблонов проектирования в реальных проектах.,1,0.9925190210342407,1,0.9778900742530823,1,0.5231161713600159,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,0
17,36,2024-04-03 15:00:00,Продвинутые техники программирования,1,"Изучение сложных структур данных в Python, таких как деревья и графы, было особенно интересным.","Да, работа с графами и их алгоритмами.",Устроить отдельные вебинары по каждому типу структуры данных с подробными примерами.,Глубокое изучение алгоритмов поиска пути и оптимизации.,1,0.9926406741142273,1,0.9797890782356262,0,0.5604726672172546,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,1
18,37,2024-04-03 16:45:00,Продвинутые техники программирования,1,Обширное покрытие темы REST API и как они интегрируются с современными веб-приложениями было очень полезно.,"Да, концепции OAuth 2.0 были сложными для понимания.",Больше интерактивных примеров и пошаговых руководств по реализации API.,Подробности реализации микросервисов на Spring Boot и Docker.,1,0.9922629594802856,1,0.9764467477798462,1,0.503210186958313,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,1
19,38,2024-04-04 10:30:00,Продвинутые техники программирования,1,Глубина разбора модульного тестирования и TDD была полезной для понимания процессов разработки.,"Да, использование моков и стабов в тестах.",Предоставить дополнительные ресурсы для изучения инструментов мокирования.,Интеграционное тестирование и CI/CD пайплайны.,1,0.992601215839386,1,0.9776480197906494,1,0.5282017588615417,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
20,39,2024-04-04 15:00:00,Основы программирования,1,Ясное и чёткое объяснение базовых структур данных.,Нет.,Включить больше реальных примеров использования данных структур.,Принципы проектирования алгоритмов.,1,0.9922429919242859,1,0.9771883487701416,0,0.6771170496940613,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,0
21,40,2024-04-04 16:00:00,Продвинутые техники программирования,1,"На вебинаре раздали виртуальные печеньки, очень мило.","Нет, я был слишком занят едой.",В следующий раз добавить виртуальный чай.,Как запекать печенья.,0,0.5068928599357605,0,0.9039027690887451,1,0.41209617257118225,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,1
22,41,2024-04-04 16:30:00,Продвинутые техники программирования,1,Подробный разбор применения шаблонов проектирования в реальных проектах был очень познавательным.,Сложности с пониманием абстрактной фабрики.,Больше практических примеров для каждого шаблона проектирования.,Применение шаблонов проектирования в микросервисах.,1,0.9920141100883484,1,0.9730905890464783,1,0.47207221388816833,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
23,42,2024-04-05 14:00:00,Новейшие тенденции в IT,1,Дискуссия о будущем облачных вычислений и их влиянии на ИТ-индустрию была очень проницательной.,Нет.,"Включить больше кейс-стади от компаний, успешно интегрировавших облачные решения.",Стратегии миграции предприятий в облако.,1,0.9920845031738281,1,0.9718046188354492,2,0.7720031142234802,0,0,0,1,0,0,0,0,0,0,0,0,Попов,Егоров,1
24,43,2024-04-05 15:30:00,Новейшие тенденции в IT,1,Обсуждение актуальных IT-трендов 2024 года.,"Да, тема искусственного интеллекта требует более глубокого погружения.",Больше времени на сложные темы.,Глубокое изучение нейронных сетей.,1,0.9907566905021667,1,0.9729581475257874,2,0.7351811528205872,0,0,0,0,1,0,0,0,0,0,0,0,Михайлова,Егоров,0
25,44,2024-04-05 16:30:00,Новейшие тенденции в IT,1,Обсуждение тенденций в разработке мобильных приложений и их влияние на рынок было весьма познавательным.,Нет.,Включить больше примеров успешных мобильных приложений и их стратегий монетизации.,Разработка кроссплатформенных мобильных приложений.,1,0.9918109178543091,1,0.9789209961891174,2,0.7609968185424805,0,0,0,1,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
26,45,2024-04-05 18:30:00,Новейшие тенденции в IT,1,Обзор последних достижений в области квантовых вычислений был впечатляющим.,"Да, сложность темы требует более глубокого погружения.",Организовать серию вебинаров по квантовым технологиям с участием экспертов.,Квантовая криптография и её практическое применение.,1,0.9915816187858582,1,0.9751163125038147,2,0.777315616607666,0,0,0,1,0,0,0,0,0,0,0,0,Михайлова,Егоров,1
27,46,2024-04-06 12:00:00,Новейшие тенденции в IT,1,Вебинар о технологиях блокчейна и их влиянии на финансовую отрасль был глубоко информативным.,"Да, концепции смарт-контрактов были сложными для понимания.","Ввести вебинар, полностью посвященный смарт-контрактам, с практическими примерами.",Разработка и тестирование смарт-контрактов на разных платформах.,1,0.9920035004615784,1,0.9760971069335938,2,0.763331949710846,0,0,0,0,0,0,0,0,0,0,0,0,Попов,Егоров,0
28,47,2024-04-06 12:15:00,Новейшие тенденции в IT,1,Обсуждение влияния облачных технологий на современные IT-структуры было особенно актуальным.,"Да, различия между IaaS, PaaS, и SaaS.",Устроить подробный вебинар о каждой облачной модели в отдельности.,Безопасность данных в облаке и лучшие практики.,1,0.9922084212303162,1,0.9777001738548279,2,0.7801332473754883,0,0,0,0,1,0,0,0,0,0,0,0,Михайлова,Егоров,0
29,48,2024-04-06 14:09:39,ChatGPT для обучения,1,"как правильно пользоваться GPT чатом, для получения более развернутого ответа",не было,пока нет предложений,затрудняюсь ответить,1,0.7246318459510803,0,0.8689713478088379,2,0.3513321876525879,0,0,0,0,0,0,0,0,0,0,0,0,Соколов,Козлов,1
30,57,2024-04-07 20:00:00,Основы программирования,1,Примеры кода были очень полезными для понимания.,Нет.,Предоставить дополнительные ресурсы для углубленного изучения.,Базы данных и SQL.,1,0.9918498992919922,1,0.978244960308075,0,0.6771249771118164,0,0,0,0,1,0,0,0,0,0,0,0,Петров,Лебедев,1
31,58,2024-04-08 11:30:00,Основы программирования,1,Занятие по основам HTML и CSS было чрезвычайно полезным для понимания структуры веб-страниц.,Нет.,"Предложить курс по продвинутым техникам CSS, включая Flexbox и Grid.",Погружение в JavaScript для интерактивности веб-страниц.,1,0.9924795627593994,1,0.97782301902771,0,0.5544280409812927,0,0,0,0,1,0,0,0,0,0,0,0,Иванов,Лебедев,1
32,59,2024-04-08 14:00:00,Основы программирования,1,Подробный разбор циклов и условных операторов в JavaScript помог укрепить мои знания.,Нет.,Ввести более сложные задачи для практики после вебинара.,Асинхронное программирование в JavaScript и его применение в реальных проектах.,1,0.9920434355735779,1,0.9768069386482239,0,0.6910658478736877,0,0,0,0,0,1,0,0,0,0,0,0,Иванов,Лебедев,1
33,60,2024-04-08 14:00:00,Основы программирования,1,"Отличное объяснение переменных, типов данных и структур в Python.",Нет.,Предложить дополнительные учебные материалы для глубокого изучения каждой темы.,Глубокое изучение функционального программирования.,1,0.992482602596283,1,0.9777286648750305,0,0.71328204870224,0,0,0,0,1,0,0,0,0,0,0,0,Петров,Лебедев,0
34,61,2024-04-08 14:30:00,Основы программирования,1,"Дискуссия о том, как писать код одной рукой, была неожиданно увлекательной.","Нет, это было странно интересно.","Может быть, курс по печати ногами для разнообразия?",Как писать код левой пяткой.,0,0.5555605888366699,0,0.9053557515144348,0,0.5725589394569397,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,0
35,62,2024-04-08 14:45:00,Основы программирования,1,"Отличное введение в основы SQL, особенно работа с JOIN-операциями.","Да, сложности с пониманием внешних и внутренних соединений.",Предложить более подробные учебные ресурсы и примеры запросов для практики.,Оптимизация запросов SQL и анализ производительности баз данных.,1,0.9926934242248535,1,0.9791519045829773,0,0.6949595212936401,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,0
36,63,2024-04-09 17:30:00,Продвинутые техники программирования,1,Сессия по оптимизации производительности веб-приложений дала мне новые инструменты для работы.,"Да, концепты кэширования данных были сложными.",Углубить тему кэширования и состояния сессии в отдельном вебинаре.,Работа с большими данными и их хранение.,1,0.9914615154266357,1,0.9759051203727722,1,0.5136948823928833,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,0
37,64,2024-04-09 19:00:00,Продвинутые техники программирования,1,"Затронута тема безопасности приложений, что крайне важно.",Сложности с пониманием криптографических методов.,Добавить примеры на кейсах из жизни.,Кибербезопасность.,1,0.9907470941543579,1,0.9740777015686035,1,0.4746619164943695,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
38,65,2024-04-10 16:00:00,Основы программирования,1,"Отличное объяснение темы циклов и условий, всё стало на свои места.","Да, сложно было понять тему рекурсии.",Хотелось бы больше практических заданий по каждой теме.,Глубже изучить тему работы с базами данных.,1,0.9908690452575684,1,0.967705488204956,0,0.7371823191642761,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,0
39,66,2024-04-10 16:00:00,Продвинутые техники программирования,1,"Разбор примеров рефакторинга кода был очень практичным и полезным для понимания, как улучшить существующий код.",Некоторые сложные примеры рефакторинга.,Углубить материал с дополнительными кейс-стади из реальных проектов.,Методы оптимизации производительности приложений.,1,0.9922773838043213,1,0.9773117899894714,1,0.49607351422309875,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,1
40,67,2024-04-10 17:00:00,Продвинутые техники программирования,1,"Очень ценно было изучить интеграцию API в большие системы, использование RESTful и GraphQL.","Да, работа с GraphQL была сложнее, чем ожидалось.","Провести серию практических вебинаров, специально посвященных GraphQL.","Безопасность API, управление доступом и ограничения скорости запросов.",1,0.9920178651809692,1,0.974779486656189,1,0.5793402194976807,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
41,68,2024-04-10 17:30:00,Новейшие тенденции в IT,1,Интересное обсуждение применения искусственного интеллекта в нетехнических отраслях.,"Да, были трудности с пониманием нейросетей.",Уделить больше времени основам нейросетей перед их применением.,Машинное обучение и его применение в реальных условиях.,1,0.9918334484100342,1,0.9782401919364929,2,0.7319539189338684,0,0,0,1,0,0,0,0,0,0,0,0,Попов,Егоров,1
42,69,2024-04-10 18:20:00,Продвинутые техники программирования,1,Глубокое погружение в архитектуру REST и SOAP интерфейсов было крайне полезным для моих проектов.,Нет.,Организовать практические лаборатории по созданию и тестированию API.,Безопасность API и использование OAuth 2.0.,1,0.9926008582115173,1,0.978005588054657,1,0.5691321492195129,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,1
43,70,2024-04-10 19:00:00,Продвинутые техники программирования,1,Глубокий анализ принципов SOLID и их применение в объектно-ориентированном проектировании был великолепен.,"Да, примеры на C# были запутанными.",Организовать дополнительные сессии по практическому применению SOLID в различных языках программирования.,Глубокое изучение паттернов проектирования и рефакторинга существующего кода.,1,0.9922354817390442,1,0.9762117266654968,1,0.5411838889122009,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
44,71,2024-04-10 19:45:00,Продвинутые техники программирования,1,"Презентация была настолько монотонной, что я научился рисовать слонов.","Да, как правильно рисовать уши слона.","Пожалуй, стоит добавить курс по рисованию к вебинарам, чтобы сохранить внимание слушателей.",Рисование слонов в Photoshop.,0,0.5672901272773743,0,0.8996783494949341,1,0.37636497616767883,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,0
45,72,2024-04-11 15:45:00,Новейшие тенденции в IT,1,Лекция о влиянии ИИ на автоматизацию рабочих процессов была весьма актуальной.,Нет.,Обсудить более подробно кейсы применения ИИ в разных отраслях.,Применение ИИ для оптимизации клиентского сервиса.,1,0.9923897385597229,1,0.9794852137565613,2,0.785198450088501,0,0,0,1,1,0,0,0,0,0,0,0,Михайлова,Егоров,0
46,73,2024-04-12 15:00:00,Новейшие тенденции в IT,1,Дискуссия о будущем искусственного интеллекта и его этических аспектах была особенно привлекательной.,"Да, темы моральных дилемм ИИ требовали более глубокого понимания.","Устроить дебаты или панельную дискуссию с экспертами по этике ИИ, чтобы обсудить эти вопросы подробнее.",Роль ИИ в управлении данными и приватности.,1,0.9915687441825867,1,0.9729031324386597,2,0.7750890254974365,0,0,0,1,0,0,0,0,0,0,0,0,Михайлова,Егоров,1
47,74,2024-04-12 16:30:00,Новейшие тенденции в IT,1,Обсуждение машинного обучения было особенно интересным.,"Да, темы, связанные с Big Data, остались не до конца ясны.",Углубленный разбор каждой темы.,Технологии Big Data.,1,0.9915547966957092,1,0.9744307994842529,2,0.6806334257125854,0,0,0,1,0,1,0,0,0,0,0,0,Попов,Егоров,0
48,75,2024-04-12 17:00:00,Новейшие тенденции в IT,1,Введение в искусственный интеллект и его влияние на робототехнику было захватывающим и познавательным.,"Да, темы построения нейросетей требовали более детального объяснения.","Провести специализированные вебинары по машинному обучению и нейросетям, с практическими занятиями на реальных данных.",Разработка и применение нейросетей в индустрии развлечений и медиа.,1,0.9919835925102234,1,0.9760973453521729,2,0.712335467338562,0,0,0,1,0,0,0,0,0,0,0,0,Попов,Егоров,0
49,76,2024-04-12 17:00:00,Новейшие тенденции в IT,1,Доклад о последних инновациях в области искусственного интеллекта и машинного обучения был вдохновляющим.,"Да, сложности с пониманием концепций глубокого обучения.","Провести серию вебинаров, посвященных только машинному обучению, с кейс-стади и примерами из практики.",Применение ИИ в реальных бизнес-задачах.,1,0.991999089717865,1,0.9764149188995361,2,0.7513470649719238,0,0,0,0,0,0,0,0,0,0,0,0,Попов,Егоров,1
